Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, eco1, 0, 183.2, 10.73, 82, 273, 0, 
1980, eco1, 0, 208.33, 10.28, 57, 287, 0, 
1981, eco1, 0, 155.5, 10.79, 80, 277, 0, 
1982, eco1, 0, 164.32, 11.61, 81, 289, 0, 
1983, eco1, 0, 196.95, 11.81, 66, 274, 0, 
1984, eco1, 0, 243.43, 10.56, 71, 287, 0, 
1985, eco1, 0, 242.41, 10.47, 82, 274, 0, 
1986, eco1, 0, 179.07, 11.32, 74, 284, 0, 
1987, eco1, 0, 225.91, 11.19, 67, 304, 0, 
1988, eco1, 0, 155.5, 10.79, 80, 277, 0, 
1989, eco1, 0, 259.9, 10.7, 89, 291, 0, 
1990, eco1, 0, 148.39, 10.12, 79, 265, 0, 
1991, eco1, 0, 183.2, 10.73, 82, 273, 0, 
1992, eco1, 0, 156.05, 10.7, 68, 283, 0, 
1993, eco1, 0, 170.21, 10.77, 87, 283, 0, 
1994, eco1, 0, 243.43, 10.56, 71, 287, 0, 
1995, eco1, 0, 171.9, 12.33, 55, 288, 0, 
1996, eco1, 0, 171.9, 12.33, 55, 288, 0, 
1997, eco1, 0, 208.33, 10.28, 57, 287, 0, 
1998, eco1, 0, 249.73, 10.71, 60, 279, 0, 
1999, eco1, 0, 161.8, 11.01, 72, 321, 0, 
2000, eco1, 0, 171.9, 12.33, 55, 288, 0, 
2001, eco1, 0, 208.33, 10.28, 57, 287, 0, 
2002, eco1, 0, 170.21, 10.77, 87, 283, 0, 
2003, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2004, eco1, 0, 192.78, 11.49, 72, 291, 0, 
2005, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2006, eco1, 0, 163.5, 11.02, 81, 272, 0, 
2007, eco1, 0, 199.06, 11.01, 80, 295, 0, 
2008, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2009, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2010, eco1, 0, 198.81, 11, 80, 291, 0, 
2011, eco1, 0, 223.99, 11.96, 49, 293, 0, 
2012, eco1, 0, 208.33, 10.28, 57, 287, 0, 
2013, eco1, 0, 163.5, 11.02, 81, 272, 0, 
2014, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2015, eco1, 0, 216.67, 10.45, 73, 291, 0, 
2016, eco1, 0, 242.51, 11, 76, 299, 0, 
2017, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2018, eco1, 0, 148.39, 10.12, 79, 265, 0, 
2019, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2020, eco1, 0, 184.45, 11.27, 85, 299, 0, 
2021, eco1, 0, 184.45, 11.27, 85, 299, 0, 
2022, eco1, 0, 130.99, 11.9, 64, 290, 0, 
2023, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2024, eco1, 0, 269.94, 10.46, 71, 276, 0, 
2025, eco1, 0, 164.42, 10.44, 83, 282, 0, 
2026, eco1, 0, 230.62, 10.18, 92, 290, 0, 
2027, eco1, 0, 178.97, 10.49, 81, 276, 0, 
2028, eco1, 0, 155.5, 10.79, 80, 277, 0, 
2029, eco1, 0, 199.06, 11.01, 80, 295, 0, 
2030, eco1, 0, 179.07, 11.32, 74, 284, 0, 
2031, eco1, 0, 223.99, 11.96, 49, 293, 0, 
2032, eco1, 0, 242.41, 10.47, 82, 274, 0, 
2033, eco1, 0, 148.39, 10.12, 79, 265, 0, 
2034, eco1, 0, 219.52, 11.93, 77, 287, 0, 
2035, eco1, 0, 230.62, 10.18, 92, 290, 0, 
2036, eco1, 0, 183.2, 10.73, 82, 273, 0, 
2037, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2038, eco1, 0, 183.2, 10.73, 82, 273, 0, 
2039, eco1, 0, 184.45, 11.27, 85, 299, 0, 
2040, eco1, 0, 206.78, 11.72, 69, 365, 0, 
2041, eco1, 0, 208.33, 10.28, 57, 287, 0, 
2042, eco1, 0, 156.05, 10.7, 68, 283, 0, 
2043, eco1, 0, 171.44, 10.98, 80, 261, 0, 
2044, eco1, 0, 243.43, 10.56, 71, 287, 0, 
2045, eco1, 0, 243.43, 10.56, 71, 287, 0, 
2046, eco1, 0, 183.2, 10.73, 82, 273, 0, 
2047, eco1, 0, 216.67, 10.45, 73, 291, 0, 
2048, eco1, 0, 216.67, 10.45, 73, 291, 0, 
2049, eco1, 0, 218.08, 11.55, 65, 282, 0, 
2050, eco1, 0, 136.99, 11.54, 66, 291, 0, 
2051, eco1, 0, 198.81, 11, 80, 291, 0, 
2052, eco1, 0, 164.42, 10.44, 83, 282, 0, 
2053, eco1, 0, 130.99, 11.9, 64, 290, 0, 
2054, eco1, 0, 148.39, 10.12, 79, 265, 0, 
2055, eco1, 0, 153.87, 10.31, 84, 282, 0, 
2056, eco1, 0, 206.78, 11.72, 69, 365, 0, 
2057, eco1, 0, 249.73, 10.71, 60, 279, 0, 
2058, eco1, 0, 225.08, 11.28, 60, 304, 0, 
1979, eco2, 1, 174.31, 12.41, 75, 275, 0, 
1980, eco2, 1, 190.97, 12.08, 44, 291, 0, 
1981, eco2, 1, 142.59, 12.44, 72, 280, 0, 
1982, eco2, 1, 149.12, 13.32, 67, 321, 0, 
1983, eco2, 1, 179.98, 13.54, 56, 276, 0, 
1984, eco2, 1, 222.18, 12.31, 65, 289, 0, 
1985, eco2, 1, 223.13, 12.18, 69, 277, 0, 
1986, eco2, 1, 157.71, 13.03, 65, 286, 0, 
1987, eco2, 1, 199.6, 12.84, 59, 308, 0, 
1988, eco2, 1, 142.59, 12.44, 72, 280, 0, 
1989, eco2, 1, 245.25, 12.37, 84, 291, 0, 
1990, eco2, 1, 138.47, 11.9, 71, 268, 0, 
1991, eco2, 1, 174.31, 12.41, 75, 275, 0, 
1992, eco2, 1, 140.73, 12.4, 58, 285, 0, 
1993, eco2, 1, 155.27, 12.5, 76, 285, 0, 
1994, eco2, 1, 222.18, 12.31, 65, 289, 0, 
1995, eco2, 1, 160.26, 14.12, 50, 290, 0, 
1996, eco2, 1, 160.26, 14.12, 50, 290, 0, 
1997, eco2, 1, 190.97, 12.08, 44, 291, 0, 
1998, eco2, 1, 227.07, 12.41, 53, 281, 0, 
1999, eco2, 1, 154.07, 12.68, 63, 321, 0, 
2000, eco2, 1, 160.26, 14.12, 50, 290, 0, 
2001, eco2, 1, 190.97, 12.08, 44, 291, 0, 
2002, eco2, 1, 155.27, 12.5, 76, 285, 0, 
2003, eco2, 1, 142.59, 12.44, 72, 280, 0, 
2004, eco2, 1, 179.94, 13.05, 67, 291, 0, 
2005, eco2, 1, 154.76, 12.68, 66, 263, 0, 
2006, eco2, 1, 148.13, 12.7, 76, 274, 0, 
2007, eco2, 1, 191.64, 12.7, 65, 299, 0, 
2008, eco2, 1, 195.4, 13.76, 0, 310, 0, 
2009, eco2, 1, 239.16, 12.09, 65, 277, 0, 
2010, eco2, 1, 181.37, 12.64, 74, 291, 0, 
2011, eco2, 1, 204.45, 13.73, 0, 296, 0, 
2012, eco2, 1, 190.97, 12.08, 44, 291, 0, 
2013, eco2, 1, 148.13, 12.7, 76, 274, 0, 
2014, eco2, 1, 239.16, 12.09, 65, 277, 0, 
2015, eco2, 1, 199.13, 12.07, 65, 292, 0, 
2016, eco2, 1, 230.39, 12.7, 65, 304, 0, 
2017, eco2, 1, 195.4, 13.76, 0, 310, 0, 
2018, eco2, 1, 138.47, 11.9, 71, 268, 0, 
2019, eco2, 1, 154.76, 12.68, 66, 263, 0, 
2020, eco2, 1, 167.78, 13.07, 80, 304, 0, 
2021, eco2, 1, 167.78, 13.07, 80, 304, 0, 
2022, eco2, 1, 118.73, 13.87, 57, 306, 0, 
2023, eco2, 1, 142.59, 12.44, 72, 280, 0, 
2024, eco2, 1, 239.16, 12.09, 65, 277, 0, 
2025, eco2, 1, 153.29, 12.2, 78, 286, 0, 
2026, eco2, 1, 208.64, 11.89, 84, 291, 0, 
2027, eco2, 1, 170.29, 12.43, 73, 281, 0, 
2028, eco2, 1, 142.59, 12.44, 72, 280, 0, 
2029, eco2, 1, 191.64, 12.7, 65, 299, 0, 
2030, eco2, 1, 157.71, 13.03, 65, 286, 0, 
2031, eco2, 1, 204.45, 13.73, 0, 296, 0, 
2032, eco2, 1, 223.13, 12.18, 69, 277, 0, 
2033, eco2, 1, 138.47, 11.9, 71, 268, 0, 
2034, eco2, 1, 195.4, 13.76, 0, 310, 0, 
2035, eco2, 1, 208.64, 11.89, 84, 291, 0, 
2036, eco2, 1, 174.31, 12.41, 75, 275, 0, 
2037, eco2, 1, 154.76, 12.68, 66, 263, 0, 
2038, eco2, 1, 174.31, 12.41, 75, 275, 0, 
2039, eco2, 1, 167.78, 13.07, 80, 304, 0, 
2040, eco2, 1, 201.14, 13.63, 65, 365, 0, 
2041, eco2, 1, 190.97, 12.08, 44, 291, 0, 
2042, eco2, 1, 140.73, 12.4, 58, 285, 0, 
2043, eco2, 1, 154.76, 12.68, 66, 263, 0, 
2044, eco2, 1, 222.18, 12.31, 65, 289, 0, 
2045, eco2, 1, 222.18, 12.31, 65, 289, 0, 
2046, eco2, 1, 174.31, 12.41, 75, 275, 0, 
2047, eco2, 1, 199.13, 12.07, 65, 292, 0, 
2048, eco2, 1, 199.13, 12.07, 65, 292, 0, 
2049, eco2, 1, 194.37, 13.25, 56, 285, 0, 
2050, eco2, 1, 124.39, 13.22, 62, 291, 0, 
2051, eco2, 1, 181.37, 12.64, 74, 291, 0, 
2052, eco2, 1, 153.29, 12.2, 78, 286, 0, 
2053, eco2, 1, 118.73, 13.87, 57, 306, 0, 
2054, eco2, 1, 138.47, 11.9, 71, 268, 0, 
2055, eco2, 1, 140.45, 11.98, 80, 284, 0, 
2056, eco2, 1, 201.14, 13.63, 65, 365, 0, 
2057, eco2, 1, 227.07, 12.41, 53, 281, 0, 
2058, eco2, 1, 204.34, 12.87, 52, 309, 0, 
1979, eco3, 2, 128.31, 12.44, 77, 274, 0, 
1980, eco3, 2, 138.33, 12.08, 45, 288, 0, 
1981, eco3, 2, 110.36, 12.62, 72, 278, 0, 
1982, eco3, 2, 107.43, 13.41, 70, 321, 0, 
1983, eco3, 2, 135.39, 13.66, 59, 276, 0, 
1984, eco3, 2, 166.57, 12.52, 64, 287, 0, 
1985, eco3, 2, 159.99, 12.28, 75, 276, 0, 
1986, eco3, 2, 129.22, 13.19, 68, 284, 0, 
1987, eco3, 2, 153.82, 13.08, 59, 308, 0, 
1988, eco3, 2, 110.36, 12.62, 72, 278, 0, 
1989, eco3, 2, 183.51, 12.46, 85, 291, 0, 
1990, eco3, 2, 100.91, 12.03, 71, 267, 0, 
1991, eco3, 2, 128.31, 12.44, 77, 274, 0, 
1992, eco3, 2, 112.12, 12.45, 59, 282, 0, 
1993, eco3, 2, 119.32, 12.56, 77, 280, 0, 
1994, eco3, 2, 166.57, 12.52, 64, 287, 0, 
1995, eco3, 2, 123.8, 14.16, 51, 289, 0, 
1996, eco3, 2, 123.8, 14.16, 51, 289, 0, 
1997, eco3, 2, 138.33, 12.08, 45, 288, 0, 
1998, eco3, 2, 172.73, 12.5, 55, 280, 0, 
1999, eco3, 2, 116.76, 12.79, 65, 321, 0, 
2000, eco3, 2, 123.8, 14.16, 51, 289, 0, 
2001, eco3, 2, 138.33, 12.08, 45, 288, 0, 
2002, eco3, 2, 119.32, 12.56, 77, 280, 0, 
2003, eco3, 2, 110.36, 12.62, 72, 278, 0, 
2004, eco3, 2, 132.99, 13.29, 68, 291, 0, 
2005, eco3, 2, 118.61, 12.83, 68, 263, 0, 
2006, eco3, 2, 113.74, 12.86, 77, 274, 0, 
2007, eco3, 2, 138.26, 12.99, 67, 297, 0, 
2008, eco3, 2, 147.03, 13.77, 30, 287, 0, 
2009, eco3, 2, 168.86, 12.19, 66, 277, 0, 
2010, eco3, 2, 132.06, 12.73, 75, 291, 0, 
2011, eco3, 2, 155.72, 13.86, 0, 295, 0, 
2012, eco3, 2, 138.33, 12.08, 45, 288, 0, 
2013, eco3, 2, 113.74, 12.86, 77, 274, 0, 
2014, eco3, 2, 168.86, 12.19, 66, 277, 0, 
2015, eco3, 2, 147.12, 12.12, 66, 291, 0, 
2016, eco3, 2, 163.11, 12.7, 68, 302, 0, 
2017, eco3, 2, 147.03, 13.77, 30, 287, 0, 
2018, eco3, 2, 100.91, 12.03, 71, 267, 0, 
2019, eco3, 2, 118.61, 12.83, 68, 263, 0, 
2020, eco3, 2, 120.67, 13.11, 81, 304, 0, 
2021, eco3, 2, 120.67, 13.11, 81, 304, 0, 
2022, eco3, 2, 102.42, 13.72, 58, 298, 0, 
2023, eco3, 2, 110.36, 12.62, 72, 278, 0, 
2024, eco3, 2, 168.86, 12.19, 66, 277, 0, 
2025, eco3, 2, 120.17, 12.19, 79, 284, 0, 
2026, eco3, 2, 154.24, 11.95, 85, 291, 0, 
2027, eco3, 2, 118.31, 12.47, 72, 278, 0, 
2028, eco3, 2, 110.36, 12.62, 72, 278, 0, 
2029, eco3, 2, 138.26, 12.99, 67, 297, 0, 
2030, eco3, 2, 129.22, 13.19, 68, 284, 0, 
2031, eco3, 2, 155.72, 13.86, 0, 295, 0, 
2032, eco3, 2, 159.99, 12.28, 75, 276, 0, 
2033, eco3, 2, 100.91, 12.03, 71, 267, 0, 
2034, eco3, 2, 147.03, 13.77, 30, 287, 0, 
2035, eco3, 2, 154.24, 11.95, 85, 291, 0, 
2036, eco3, 2, 128.31, 12.44, 77, 274, 0, 
2037, eco3, 2, 118.61, 12.83, 68, 263, 0, 
2038, eco3, 2, 128.31, 12.44, 77, 274, 0, 
2039, eco3, 2, 120.67, 13.11, 81, 304, 0, 
2040, eco3, 2, 159.88, 13.54, 67, 365, 0, 
2041, eco3, 2, 138.33, 12.08, 45, 288, 0, 
2042, eco3, 2, 112.12, 12.45, 59, 282, 0, 
2043, eco3, 2, 118.61, 12.83, 68, 263, 0, 
2044, eco3, 2, 166.57, 12.52, 64, 287, 0, 
2045, eco3, 2, 166.57, 12.52, 64, 287, 0, 
2046, eco3, 2, 128.31, 12.44, 77, 274, 0, 
2047, eco3, 2, 147.12, 12.12, 66, 291, 0, 
2048, eco3, 2, 147.12, 12.12, 66, 291, 0, 
2049, eco3, 2, 139.73, 13.46, 57, 283, 0, 
2050, eco3, 2, 91.65, 13.49, 63, 291, 0, 
2051, eco3, 2, 132.06, 12.73, 75, 291, 0, 
2052, eco3, 2, 120.17, 12.19, 79, 284, 0, 
2053, eco3, 2, 102.42, 13.72, 58, 298, 0, 
2054, eco3, 2, 100.91, 12.03, 71, 267, 0, 
2055, eco3, 2, 110.34, 11.96, 81, 282, 0, 
2056, eco3, 2, 159.88, 13.54, 67, 365, 0, 
2057, eco3, 2, 172.73, 12.5, 55, 280, 0, 
2058, eco3, 2, 147.91, 12.94, 55, 308, 0, 
1979, eco4, 3, 155.13, 12.55, 75, 275, 0, 
1980, eco4, 3, 170.53, 12.32, 42, 291, 0, 
1981, eco4, 3, 129.8, 12.74, 68, 280, 0, 
1982, eco4, 3, 128.93, 13.52, 66, 321, 0, 
1983, eco4, 3, 160.31, 13.75, 56, 277, 0, 
1984, eco4, 3, 194.23, 12.58, 63, 288, 0, 
1985, eco4, 3, 188.98, 12.32, 75, 276, 0, 
1986, eco4, 3, 144.47, 13.27, 65, 286, 0, 
1987, eco4, 3, 175.24, 13.13, 57, 309, 0, 
1988, eco4, 3, 129.8, 12.74, 68, 280, 0, 
1989, eco4, 3, 213.31, 12.56, 84, 291, 0, 
1990, eco4, 3, 124.41, 12.1, 70, 268, 0, 
1991, eco4, 3, 155.13, 12.55, 75, 275, 0, 
1992, eco4, 3, 132.64, 12.59, 57, 284, 0, 
1993, eco4, 3, 138.83, 12.66, 78, 285, 0, 
1994, eco4, 3, 194.23, 12.58, 63, 288, 0, 
1995, eco4, 3, 141.85, 14.34, 50, 289, 0, 
1996, eco4, 3, 141.85, 14.34, 50, 289, 0, 
1997, eco4, 3, 170.53, 12.32, 42, 291, 0, 
1998, eco4, 3, 206.17, 12.52, 53, 280, 0, 
1999, eco4, 3, 132.4, 12.84, 64, 321, 0, 
2000, eco4, 3, 141.85, 14.34, 50, 289, 0, 
2001, eco4, 3, 170.53, 12.32, 42, 291, 0, 
2002, eco4, 3, 138.83, 12.66, 78, 285, 0, 
2003, eco4, 3, 129.8, 12.74, 68, 280, 0, 
2004, eco4, 3, 160.94, 13.34, 66, 291, 0, 
2005, eco4, 3, 133.41, 12.91, 64, 263, 0, 
2006, eco4, 3, 136.26, 12.9, 76, 274, 0, 
2007, eco4, 3, 161.76, 13.03, 61, 299, 0, 
2008, eco4, 3, 174.51, 13.99, 0, 308, 0, 
2009, eco4, 3, 200.97, 12.22, 65, 277, 0, 
2010, eco4, 3, 159.54, 12.79, 74, 291, 0, 
2011, eco4, 3, 186, 13.87, 0, 295, 0, 
2012, eco4, 3, 170.53, 12.32, 42, 291, 0, 
2013, eco4, 3, 136.26, 12.9, 76, 274, 0, 
2014, eco4, 3, 200.97, 12.22, 65, 277, 0, 
2015, eco4, 3, 169.8, 12.23, 65, 291, 0, 
2016, eco4, 3, 201.57, 12.88, 66, 304, 0, 
2017, eco4, 3, 174.51, 13.99, 0, 308, 0, 
2018, eco4, 3, 124.41, 12.1, 70, 268, 0, 
2019, eco4, 3, 133.41, 12.91, 64, 263, 0, 
2020, eco4, 3, 147.78, 13.3, 79, 302, 0, 
2021, eco4, 3, 147.78, 13.3, 79, 302, 0, 
2022, eco4, 3, 108.38, 14.03, 56, 302, 0, 
2023, eco4, 3, 129.8, 12.74, 68, 280, 0, 
2024, eco4, 3, 200.97, 12.22, 65, 277, 0, 
2025, eco4, 3, 138.36, 12.4, 77, 286, 0, 
2026, eco4, 3, 186.35, 12.08, 84, 291, 0, 
2027, eco4, 3, 145.53, 12.74, 72, 280, 0, 
2028, eco4, 3, 129.8, 12.74, 68, 280, 0, 
2029, eco4, 3, 161.76, 13.03, 61, 299, 0, 
2030, eco4, 3, 144.47, 13.27, 65, 286, 0, 
2031, eco4, 3, 186, 13.87, 0, 295, 0, 
2032, eco4, 3, 188.98, 12.32, 75, 276, 0, 
2033, eco4, 3, 124.41, 12.1, 70, 268, 0, 
2034, eco4, 3, 174.51, 13.99, 0, 308, 0, 
2035, eco4, 3, 186.35, 12.08, 84, 291, 0, 
2036, eco4, 3, 155.13, 12.55, 75, 275, 0, 
2037, eco4, 3, 133.41, 12.91, 64, 263, 0, 
2038, eco4, 3, 155.13, 12.55, 75, 275, 0, 
2039, eco4, 3, 147.78, 13.3, 79, 302, 0, 
2040, eco4, 3, 180.69, 13.71, 65, 365, 0, 
2041, eco4, 3, 170.53, 12.32, 42, 291, 0, 
2042, eco4, 3, 132.64, 12.59, 57, 284, 0, 
2043, eco4, 3, 133.41, 12.91, 64, 263, 0, 
2044, eco4, 3, 194.23, 12.58, 63, 288, 0, 
2045, eco4, 3, 194.23, 12.58, 63, 288, 0, 
2046, eco4, 3, 155.13, 12.55, 75, 275, 0, 
2047, eco4, 3, 169.8, 12.23, 65, 291, 0, 
2048, eco4, 3, 169.8, 12.23, 65, 291, 0, 
2049, eco4, 3, 171.1, 13.46, 56, 284, 0, 
2050, eco4, 3, 106.02, 13.54, 61, 291, 0, 
2051, eco4, 3, 159.54, 12.79, 74, 291, 0, 
2052, eco4, 3, 138.36, 12.4, 77, 286, 0, 
2053, eco4, 3, 108.38, 14.03, 56, 302, 0, 
2054, eco4, 3, 124.41, 12.1, 70, 268, 0, 
2055, eco4, 3, 129.33, 12.1, 80, 285, 0, 
2056, eco4, 3, 180.69, 13.71, 65, 365, 0, 
2057, eco4, 3, 206.17, 12.52, 53, 280, 0, 
2058, eco4, 3, 181.73, 13.03, 52, 309, 0, 
1979, eco5, 4, 134.95, 14.19, 66, 280, 0, 
1980, eco5, 4, 141.73, 13.85, 27, 296, 0, 
1981, eco5, 4, 114.42, 14.26, 49, 287, 0, 
1982, eco5, 4, 108.36, 15.15, 24, 321, 0, 
1983, eco5, 4, 134.91, 15.49, 45, 283, 0, 
1984, eco5, 4, 170.69, 14.19, 53, 319, 0, 
1985, eco5, 4, 155.58, 13.87, 22, 284, 0, 
1986, eco5, 4, 120.85, 14.93, 55, 315, 0, 
1987, eco5, 4, 147.22, 14.71, 49, 316, 0, 
1988, eco5, 4, 114.42, 14.26, 49, 287, 0, 
1989, eco5, 4, 185.51, 14.15, 76, 291, 0, 
1990, eco5, 4, 102.78, 13.87, 59, 273, 0, 
1991, eco5, 4, 134.95, 14.19, 66, 280, 0, 
1992, eco5, 4, 115.54, 14.18, 44, 302, 0, 
1993, eco5, 4, 114.81, 14.25, 62, 304, 0, 
1994, eco5, 4, 170.69, 14.19, 53, 319, 0, 
1995, eco5, 4, 119.34, 16.13, 0, 295, 0, 
1996, eco5, 4, 119.34, 16.13, 0, 295, 0, 
1997, eco5, 4, 141.73, 13.85, 27, 296, 0, 
1998, eco5, 4, 174.35, 14.12, 45, 289, 0, 
1999, eco5, 4, 117.39, 14.42, 54, 321, 0, 
2000, eco5, 4, 119.34, 16.13, 0, 295, 0, 
2001, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2002, eco5, 4, 114.81, 14.25, 62, 304, 0, 
2003, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2004, eco5, 4, 135.99, 14.88, 58, 297, 0, 
2005, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2006, eco5, 4, 119, 14.59, 0, 282, 0, 
2007, eco5, 4, 134.81, 14.66, 38, 306, 0, 
2008, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2009, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2010, eco5, 4, 135.37, 14.38, 55, 292, 0, 
2011, eco5, 4, 159.8, 15.57, 0, 307, 0, 
2012, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2013, eco5, 4, 119, 14.59, 0, 282, 0, 
2014, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2015, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2016, eco5, 4, 157.16, 14.37, 49, 317, 0, 
2017, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2018, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2019, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2020, eco5, 4, 116.73, 14.87, 36, 320, 0, 
2021, eco5, 4, 116.73, 14.87, 36, 320, 0, 
2022, eco5, 4, 97.53, 15.67, 46, 310, 0, 
2023, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2024, eco5, 4, 170.43, 13.79, 58, 284, 0, 
2025, eco5, 4, 123.33, 13.8, 61, 291, 0, 
2026, eco5, 4, 149.02, 13.69, 69, 298, 0, 
2027, eco5, 4, 120.17, 14.34, 62, 288, 0, 
2028, eco5, 4, 114.42, 14.26, 49, 287, 0, 
2029, eco5, 4, 134.81, 14.66, 38, 306, 0, 
2030, eco5, 4, 120.85, 14.93, 55, 315, 0, 
2031, eco5, 4, 159.8, 15.57, 0, 307, 0, 
2032, eco5, 4, 155.58, 13.87, 22, 284, 0, 
2033, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2034, eco5, 4, 144.26, 15.5, 0, 320, 0, 
2035, eco5, 4, 149.02, 13.69, 69, 298, 0, 
2036, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2037, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2038, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2039, eco5, 4, 116.73, 14.87, 36, 320, 0, 
2040, eco5, 4, 156.7, 15.24, 61, 365, 0, 
2041, eco5, 4, 141.73, 13.85, 27, 296, 0, 
2042, eco5, 4, 115.54, 14.18, 44, 302, 0, 
2043, eco5, 4, 112.94, 14.58, 46, 269, 0, 
2044, eco5, 4, 170.69, 14.19, 53, 319, 0, 
2045, eco5, 4, 170.69, 14.19, 53, 319, 0, 
2046, eco5, 4, 134.95, 14.19, 66, 280, 0, 
2047, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2048, eco5, 4, 150.76, 13.73, 51, 299, 0, 
2049, eco5, 4, 139.22, 15.07, 0, 301, 0, 
2050, eco5, 4, 84.84, 15.29, 55, 296, 0, 
2051, eco5, 4, 135.37, 14.38, 55, 292, 0, 
2052, eco5, 4, 123.33, 13.8, 61, 291, 0, 
2053, eco5, 4, 97.53, 15.67, 46, 310, 0, 
2054, eco5, 4, 102.78, 13.87, 59, 273, 0, 
2055, eco5, 4, 112.56, 13.77, 67, 305, 0, 
2056, eco5, 4, 156.7, 15.24, 61, 365, 0, 
2057, eco5, 4, 174.35, 14.12, 45, 289, 0, 
2058, eco5, 4, 156.92, 14.49, 0, 320, 0, 
